id,influencer_id,url,post,follower,like,comment,react_rate,desire_to_mimic,sWOM,purchase_intention
735,o2c6t,https://instagram.com/o2c6t,25,2336,15560,1687,0.126568004,,,
736,yeeejji_,https://instagram.com/yeeejji_,26,2590,10753,369,0.070783656,,,
737,khy_is_king,https://instagram.com/khy_is_king,2,1585,320,4,0.043803515,,,
738,_.villanelle_x,https://instagram.com/_.villanelle_x,3,1408,1208,40,0.126623377,,,
739,hong_daeun,https://instagram.com/hong_daeun,7,1599,1188,25,0.046444844,,,
740,omnyomnyomz,https://instagram.com/omnyomnyomz,3,2484,659,293,0.054750403,,,
741,ggo.yongs,https://instagram.com/ggo.yongs,2,1250,109,2,0.019028571,,,
742,do_vely_01,https://instagram.com/do_vely_01,1,1388,78,8,0.026554138,,,
743,idontknowyoubutiwantyou_,https://instagram.com/idontknowyoubutiwantyou_,7,1331,0,0,0,,,
744,k_na_rim,https://instagram.com/k_na_rim,17,2750,4115,28,0.037980138,,,
745,horang_yoga,https://instagram.com/horang_yoga,2,1381,255,16,0.042050274,,,
746,j_yoonida,https://instagram.com/j_yoonida,7,1972,1379,118,0.046477212,,,
747,mayr_woori,https://instagram.com/mayr_woori,19,1585,1281,314,0.022698703,,,
748,yxx._.din,https://instagram.com/yxx._.din,6,1366,1444,56,0.078435474,,,
749,loveeeeyah_,https://instagram.com/loveeeeyah_,3,1487,214,30,0.023441253,,,
750,eunhye3_3,https://instagram.com/eunhye3_3,1,1597,109,6,0.030861437,,,
751,jjy5420,https://instagram.com/jjy5420,25,1604,907,10,0.009800499,,,
752,xx.lovie.xx,https://instagram.com/xx.lovie.xx,8,1355,1430,108,0.060806537,,,
753,jiyeon__d,https://instagram.com/jiyeon__d,10,1375,332,9,0.010628571,,,
754,euinival,https://instagram.com/euinival,2,1268,269,20,0.048839567,,,
755,star_zzang,https://instagram.com/star_zzang,3,1794,349,12,0.028746616,,,
756,rock__dolmang,https://instagram.com/rock__dolmang,3,1500,325,21,0.032952381,,,
757,seryelo_yoon,https://instagram.com/seryelo_yoon,7,1377,1709,55,0.078431373,,,
758,bellbu_,https://instagram.com/bellbu_,10,1455,2418,109,0.07443299,,,
759,hjh.91,https://instagram.com/hjh.91,2,1151,133,9,0.026436639,,,
760,im_seul___,https://instagram.com/im_seul___,3,1309,66,0,0.007202881,,,
761,yul.ru_luv_,https://instagram.com/yul.ru_luv_,9,1518,516,55,0.01791204,,,
762,nar__ae__,https://instagram.com/nar__ae__,1,1331,41,2,0.013845658,,,
763,nawnownow,https://instagram.com/nawnownow,12,1679,1848,44,0.040245044,,,
764,lifeis_marathon,https://instagram.com/lifeis_marathon,3,1536,532,18,0.051153274,,,
765,highyul___,https://instagram.com/highyul___,3,1119,159,10,0.021575386,,,
766,wizhartz,https://instagram.com/wizhartz,9,1435,1455,89,0.051236104,,,
